Summary,Issue key,Issue Type,Status,Priority,Reporter,Creator,Created,Updated,Description,Environment,Watchers,Watchers3,Watchers Id,Watchers Id4,Watchers Id5,Watchers Id6,Watchers Id7,Custom field (Customer Benefit),Custom field (Customer Contact Details),Custom field (Customer Impact),Custom field (Customer/s),Custom field (Customer_id),Custom field (Customers),Custom field (Customers Preferred Email Address),Custom field (Delivery progress),Custom field (Module),Custom field (Module)8,Custom field (The problem we are trying to solve is),Custom field (The why for MWI AH),Custom field (Theme),Custom field (To Version - Build),Custom field (Total forms),Custom field (Type of Testing),Custom field (UAT Instance Provisioned),Custom field (URL),Custom field (Upgrade type),Custom field (Vulnerability),Custom field (WF Host),Custom field (What is the current impact of not having this available?),Custom field (What is the success criteria?),Status Category Changed
Change color of Unavailability slot,CE-672,Idea,Idea Pipeline,Minor,Raggan Singh,Raggan Singh,29/10/2024 09:31,29/10/2024 09:34,"Change color of Unavailability slot to make text more visible

!image-20241029-092955.png|width=216,height=47,alt=""image-20241029-092955.png""!",,Raggan Singh,,712020:9432a844-f1c3-4164-bf8b-ae06e96ab450,,,,,Improved user experience,,,Beech House Veterinary Centre (Hersham-M),,,,,Diary/Daylists,,"Use a different color for unavailable, as the brown is difficult to see any notes written to confirm why unavailable",,,,,,,,,,,"Difficult to read, better in a different colour like the end of appointments works",,29/10/2024 09:31
Audit areas and records that have been visited by Merlin Users,CE-671,Idea,Idea Pipeline,Minor,Raggan Singh,Raggan Singh,28/10/2024 17:35,28/10/2024 17:35,"Site: Beech House Veterinary Centre (Hersham-M)  - Couldn’t see on drop downlist

_Be able to audit & view which area of Merlin & records have been visited by Merlin Users_",,Raggan Singh,,712020:9432a844-f1c3-4164-bf8b-ae06e96ab450,,,,,Improved Reporting,,,Beech House Veterinary Centre (Hersham-M),,,,,Administration,,Being able to understand when users are login after hours to confirm what they are viewing on the system,,,,,,,,,,,Confidence and security,,28/10/2024 17:35
Deleting Treatment Payments and Discounts - Inconsistencies between history and accounts,CE-670,Idea,Idea Pipeline,Minor,James Bird,James Bird,22/10/2024 15:50,22/10/2024 15:59,"+*To reproduce:*+

#  Add a treatment and save
# Go to Accounts, make a {color:#ff5630}*payment* {color}+*OR*+ {color:#ff5630}*discount*{color}
# Attempt to delete the treatment added in step 1 from Accounts and it prevents you from doing so:

!image-20241022-144615.png|width=306,height=127,alt=""image-20241022-144615.png""!

#  Now go to History, and remove from invoice.  This deletes, but prompts the user to remove allocation.",,James Bird,,5eed2c06a228c50ab951b6bf,,,,,,,,,,,,,,,Both areas should behave the same way,,,,,,,,,,,,,22/10/2024 15:50
Order Left Behind in Merlin due to imported Order created by MWI Wholesale's SAP/Interlok - Reduce Order Files created from 2 to 1,CE-669,Idea,Idea Pipeline,Minor,Andrew Frye,Andrew Frye,22/10/2024 14:46,24/10/2024 09:28,"When an MWI order is placed through Merlin, the Wholesale order files are generated from Merlin and uploaded to the MWI supplier who process and send out these products,

However quite often, if an order file (.ord) and update file (.upd) are not uploaded at exactly the same time, it is possible that SAP will pick up one of these files and then re-opulate a new order reference, which then leaves the Merlin crearted order behind never to be updated again.

This in turn then leaves the Merlin created order as “Outstanding” and all the items within the order will remain as “Pending”. MWI Technical Support are then required to manually abandon the items from these orders so they are no longer “Pending” as the practice cannot update this from Merlin.

The change here would be to reduce the required order files from two to ONE file, to prevent the issue re-occurring.",,Andrew Frye,Ryan Norton,5eed2c1402b4400ac4dc0b09,712020:265e96de-6da5-4c52-9d4e-e0af4b980157,,,,Improved user experience,,,Almost MWI Wholesale Customers who use ASN will have reported this issue.,,,,,ASN,,We are trying to prevent Wholesale orders from remaining in a state of “Pending” and prevent MWI Technical Support from requiring to manually abandon orders.,,,,,,,,,,,"Items are not getting ordered when practices use the “Auto Order” functionality, as the item(s) are present and outstanding within the Merlin created order and the MWI Wholesale created order.

Also, MWI Technical Support need to then create a Change Request to manually abandon the orders for the practice so they are no longer Pending.",,22/10/2024 14:46
Option to add additional custom daylists,CE-668,Idea,Idea Pipeline,Minor,Oscar Waldorf,Oscar Waldorf,18/10/2024 09:22,18/10/2024 09:22,Under daylists wanting the option to add additional custom daylists,,,,,,,,,,,,,,,,,,,Use of paper lists and redundant lists currently in merlin.,,,,,,,,,,,"Current lists provided are not individual enough for all practices to take advantage.

All current lists are automatically shown on diary, without option to hide - making things seem crowded",,18/10/2024 09:22
"Add ""Dispensing Fee"" column to ""Income By Species"" report",CE-667,Idea,Idea Pipeline,Minor,Jake Thompson,Jake Thompson,15/10/2024 12:02,15/10/2024 12:02,"Add ""Dispensing Fee"" column to ""Income By Species"" report so users can view this value separately if needed

*_Utilities > Reports > Standard Reports_* 

*_Report Category: Sales_*

*_Sales Report: Income By Species_*",,Jake Thompson,,610a4caa627b5600681ae343,,,,,Improved Reporting,,,Downe Vet Clinic,,,,,Reporting,,User would like to easily distinguish the dispensing fees from this data,,,,,,,,,,,Unable to identify value of dispensing fees as compared to the overall total for treatments,,15/10/2024 12:02
Global price updates to be changed in a monetary value,CE-666,Idea,Idea Pipeline,Minor,Christian Thompson,Christian Thompson,09/10/2024 13:37,09/10/2024 13:37,Create new functionality for Global Price Update to allow prices to change in a monetary value as well as a percentage,,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,,,,,,,,,,,An easier way of updating prices at year-end,,,,,,,,,,,Takes much longer,,09/10/2024 13:37
To have the option to have an email address field dedicated to accounts as well as a personal email address field,CE-665,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,27/09/2024 09:07,27/09/2024 09:07,_To have the option to have an email address field dedicated to accounts as well as a personal email address field_,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved workflow,,,Moray Coast Veterinary Group (Forres-M),,,,,,,Accounts not going to the correct person.,,,,,,,,,,,_Accounts are running up debt_,,27/09/2024 09:07
Replace Client name and address on receipts with Client ID and Pet Name,CE-664,Idea,Idea Pipeline,Minor,Oscar Waldorf,Oscar Waldorf,25/09/2024 09:59,25/09/2024 09:59,"Replace Client name and address on receipts with Client ID and Pet Name, only to effect receipts printed from the receipt printer",,,,,,,,,,,,,,,,,,,"Accidentally breaching GDPR by giving the wrong receipt to the wrong client, which has happened recently",,,,,,,,,,,Breach of GDPR,,25/09/2024 09:59
To send SMS after an appointment for client to complete feedback ,CE-663,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,20/09/2024 15:54,20/09/2024 16:48,To send SMS after an appointment for client to complete feedback ,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved Reporting,,,,,,,,,,_To send SMS after an appointm_The ability to send feedback texts to clients once visited/patients treated_ent for client to complete feedback_ ,,,,,,,,,,,|Unaware of people’s views.|,,20/09/2024 15:54
Add imported patient filter to report wizard,CE-662,Idea,Idea Pipeline,Minor,Christian Thompson,Christian Thompson,12/09/2024 16:33,12/09/2024 16:33,"|Provide a way to report on imported animals; adding this filter to report wizard|
| |",,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,,,,,,,,,Reporting,,"|Create a report to show all imported animals on our database|
| |",,,,,,,,,,,"|We are unable to check for imported animals to make sure that we are following our inhouse policies|
| |",,12/09/2024 16:33
"	 To be able to list patients waiting for a procedure",CE-661,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,11/09/2024 13:44,11/09/2024 13:44,|To be able to list patients waiting for a procedure|,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved workflow,,,The Veterinary Clinic (Noah’s Ark Vets),,,,,,,To be able to create a list for patients waiting for dental procedures,,,,,,,,,,,|Communication between practice and clients as not sure who is waiting for procedures to be carried out|,,11/09/2024 13:44
Attaching more then one document template to a code ,CE-660,Idea,Idea Pipeline,Minor,Oscar Waldorf,Oscar Waldorf,09/09/2024 14:27,09/09/2024 14:27,In code entry being able to attach more then one document. So when selecting that code and adding treatment multiple documents are generated.,,,,,,,,,,,,PowisVets,,,,,,,Have more then one template attached to a code.,,,,,,,,,,,The client does not recieve the necessary documents when purchasing certain medications.,,09/09/2024 14:28
Export of details from account screen as a CSV file in Merlin,CE-659,Idea,Idea Pipeline,Minor,Christian Thompson,Christian Thompson,02/09/2024 11:31,02/09/2024 11:31,Export of details from account screen as a CSV file,,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,,,,,,,,,Reporting,,Being able to have the ability to export the data as CSV to able to work with it in a spreadsheet program like MS Excel,,,,,,,,,,,The time taken to either copy the data out by hand or print and write over with pen (see attached picture),,02/09/2024 11:31
